captured_at,match_date,home_team,away_team,outcome,model_prob,market_prob,offered_odds,edge,stake,status,actual,profit,clv
2026-06-30T22:17:14Z,2026-07-01,England,DR Congo,draw,0.2953,0.1787,5.7000,0.6832,0.0363,lost,home,-0.0363,0.0000
2026-06-30T22:17:14Z,2026-07-01,England,DR Congo,away,0.1378,0.0713,16.0000,1.2048,0.0201,lost,home,-0.0201,0.0000
2026-06-30T22:17:14Z,2026-07-01,Belgium,Senegal,away,0.2810,0.2681,3.9500,0.1100,0.0093,lost,home,-0.0093,0.0000
2026-06-30T22:17:14Z,2026-07-02,Spain,Austria,draw,0.2523,0.1815,5.6000,0.4129,0.0224,lost,home,-0.0224,0.0000
2026-06-30T22:17:14Z,2026-07-02,Spain,Austria,away,0.1704,0.0960,12.0000,1.0448,0.0237,lost,home,-0.0237,0.0000
2026-06-30T22:17:14Z,2026-07-02,Portugal,Croatia,away,0.2289,0.1915,5.5000,0.2590,0.0144,lost,home,-0.0144,0.0000
2026-06-30T22:17:14Z,2026-07-03,Australia,Egypt,home,0.3550,0.2851,3.5500,0.2602,0.0255,lost,draw,-0.0255,0.0000
2026-06-30T22:17:14Z,2026-07-03,Australia,Egypt,draw,0.3456,0.3310,3.0600,0.0575,0.0070,won,draw,0.0144,0.0000
2026-06-30T22:17:14Z,2026-07-03,Argentina,Cape Verde,draw,0.1791,0.1247,9.0000,0.6119,0.0191,lost,home,-0.0191,0.0000
2026-06-30T22:17:14Z,2026-07-03,Argentina,Cape Verde,away,0.0545,0.0517,23.0000,0.2535,0.0029,lost,home,-0.0029,0.0000
2026-06-30T22:17:14Z,2026-07-04,Canada,Morocco,home,0.2189,0.1987,5.1000,0.1164,0.0071,lost,away,-0.0071,0.0000
2026-06-30T22:17:14Z,2026-07-04,Canada,Morocco,draw,0.3353,0.2759,3.6000,0.2071,0.0199,lost,away,-0.0199,0.0000
