team,as_of,value_eur
Afghanistan,2014-06-01,400000
Afghanistan,2018-06-01,400000
Afghanistan,2022-11-01,625000
Albania,2006-06-01,6525000
Albania,2010-06-01,27525000
Albania,2014-06-01,29875000
Albania,2018-06-01,70950000
Albania,2022-11-01,126300000
Albania,2026-06-01,101500000
Algeria,2006-06-01,7475000
Algeria,2010-06-01,40100000
Algeria,2014-06-01,84800000
Algeria,2018-06-01,249300000
Algeria,2022-11-01,300000000
Algeria,2026-06-01,232900000
Andorra,2022-11-01,300000
Andorra,2026-06-01,800000
Angola,2006-06-01,4650000
Angola,2010-06-01,11200000
Angola,2014-06-01,26550000
Angola,2018-06-01,54450000
Angola,2022-11-01,67725000
Angola,2026-06-01,54300000
Antigua and Barbuda,2006-06-01,300000
Antigua and Barbuda,2010-06-01,800000
Antigua and Barbuda,2014-06-01,1550000
Antigua and Barbuda,2018-06-01,550000
Antigua and Barbuda,2022-11-01,525000
Argentina,2006-06-01,228550000
Argentina,2010-06-01,495500000
Argentina,2014-06-01,548000000
Argentina,2018-06-01,927000000
Argentina,2022-11-01,773500000
Argentina,2026-06-01,982000000
Armenia,2006-06-01,550000
Armenia,2010-06-01,7525000
Armenia,2014-06-01,52525000
Armenia,2018-06-01,48650000
Armenia,2022-11-01,31600000
Armenia,2026-06-01,41150000
Aruba,2010-06-01,850000
Aruba,2014-06-01,2100000
Aruba,2018-06-01,2050000
Aruba,2022-11-01,575000
Australia,2006-06-01,6130000
Australia,2010-06-01,27350000
Australia,2014-06-01,31400000
Australia,2018-06-01,56300000
Australia,2022-11-01,41925000
Australia,2026-06-01,38650000
Austria,2006-06-01,27825000
Austria,2010-06-01,68800000
Austria,2014-06-01,103150000
Austria,2018-06-01,244000000
Austria,2022-11-01,355500000
Austria,2026-06-01,255200000
Azerbaijan,2010-06-01,2375000
Azerbaijan,2014-06-01,4425000
Azerbaijan,2018-06-01,6500000
Azerbaijan,2022-11-01,9200000
Azerbaijan,2026-06-01,600000
Bahrain,2018-06-01,25000
