team,as_of,value_eur
Albania,2026-06-01,101500000
Algeria,2010-06-01,26750000
Algeria,2014-06-01,54500000
Algeria,2026-06-01,232900000
Andorra,2026-06-01,800000
Angola,2006-06-01,1400000
Angola,2026-06-01,54300000
Argentina,2006-06-01,139300000
Argentina,2010-06-01,305425000
Argentina,2014-06-01,390000000
Argentina,2018-06-01,642000000
Argentina,2022-11-01,648000000
Argentina,2026-06-01,982000000
Armenia,2026-06-01,41150000
Australia,2006-06-01,4250000
Australia,2010-06-01,16300000
Australia,2014-06-01,14050000
Australia,2018-06-01,45200000
Australia,2022-11-01,32025000
Australia,2026-06-01,38650000
Austria,2026-06-01,255200000
Azerbaijan,2026-06-01,600000
Bangladesh,2026-06-01,5000000
Belarus,2026-06-01,9075000
Belgium,2014-06-01,348000000
Belgium,2018-06-01,762500000
Belgium,2022-11-01,596400000
Belgium,2026-06-01,623000000
Benin,2026-06-01,4800000
Bolivia,2026-06-01,2200000
Bonaire,2026-06-01,500000
Bosnia and Herzegovina,2014-06-01,109450000
Bosnia and Herzegovina,2026-06-01,88250000
Brazil,2006-06-01,126750000
Brazil,2010-06-01,246500000
Brazil,2014-06-01,448350000
Brazil,2018-06-01,834200000
Brazil,2022-11-01,969800000
Brazil,2026-06-01,1277000000
Bulgaria,2026-06-01,13600000
Burkina Faso,2026-06-01,99100000
Burundi,2026-06-01,8300000
Cameroon,2010-06-01,141950000
Cameroon,2014-06-01,117200000
Cameroon,2022-11-01,140200000
Cameroon,2026-06-01,197100000
Canada,2022-11-01,161800000
Canada,2026-06-01,163950000
Cape Verde,2026-06-01,51475000
Central African Republic,2026-06-01,9275000
Chile,2010-06-01,59250000
Chile,2014-06-01,127700000
Chile,2026-06-01,44475000
China,2026-06-01,10000
Colombia,2014-06-01,188850000
Colombia,2018-06-01,272150000
Colombia,2026-06-01,321000000
Comoros,2026-06-01,9250000
Congo,2026-06-01,12850000
Costa Rica,2006-06-01,1300000
Costa Rica,2014-06-01,24800000
Costa Rica,2018-06-01,37825000
Costa Rica,2022-11-01,16075000
Costa Rica,2026-06-01,30900000
Croatia,2006-06-01,40200000
Croatia,2014-06-01,192500000
Croatia,2018-06-01,340200000
Croatia,2022-11-01,379900000
Croatia,2026-06-01,349500000
Cuba,2026-06-01,600000
Curaçao,2026-06-01,12525000
Cyprus,2026-06-01,9300000
Czech Republic,2006-06-01,69800000
Czech Republic,2026-06-01,150450000
DR Congo,2026-06-01,114000000
Denmark,2010-06-01,73000000
Denmark,2018-06-01,234050000
Denmark,2022-11-01,339800000
Denmark,2026-06-01,496000000
Dominican Republic,2026-06-01,12075000
Ecuador,2006-06-01,2250000
Ecuador,2014-06-01,41300000
Ecuador,2022-11-01,105200000
Ecuador,2026-06-01,313900000
Egypt,2018-06-01,183375000
Egypt,2026-06-01,107750000
England,2006-06-01,312600000
England,2010-06-01,423800000
England,2014-06-01,334000000
England,2018-06-01,874000000
England,2022-11-01,1221000000
England,2026-06-01,1665000000
Equatorial Guinea,2026-06-01,13200000
Estonia,2026-06-01,3050000
Faroe Islands,2026-06-01,175000
Finland,2026-06-01,24525000
France,2006-06-01,90500000
France,2010-06-01,355500000
France,2014-06-01,379250000
France,2018-06-01,1031500000
France,2022-11-01,994000000
France,2026-06-01,1693000000
French Guiana,2026-06-01,2400000
Gabon,2026-06-01,16825000
Gambia,2026-06-01,57985000
Georgia,2026-06-01,170300000
Germany,2006-06-01,104150000
Germany,2010-06-01,271000000
Germany,2014-06-01,526000000
Germany,2018-06-01,865000000
Germany,2022-11-01,837000000
Germany,2026-06-01,1159000000
Ghana,2006-06-01,47150000
Ghana,2010-06-01,47050000
Ghana,2014-06-01,91200000
Ghana,2022-11-01,204100000
Ghana,2026-06-01,303000000
Greece,2010-06-01,84050000
Greece,2014-06-01,79900000
Greece,2026-06-01,248000000
Grenada,2026-06-01,650000
Guadeloupe,2026-06-01,7975000
Guinea,2026-06-01,93600000
Guinea-Bissau,2026-06-01,63475000
Guyana,2026-06-01,500000
Haiti,2026-06-01,31850000
Honduras,2010-06-01,54300000
Honduras,2014-06-01,15800000
Honduras,2026-06-01,4800000
Hungary,2026-06-01,165050000
Iceland,2018-06-01,67900000
Iceland,2026-06-01,95450000
Indonesia,2026-06-01,23450000
Iran,2006-06-01,400000
Iran,2014-06-01,9950000
Iran,2018-06-01,39300000
Iran,2022-11-01,62100000
Iran,2026-06-01,24175000
Iraq,2026-06-01,5800000
Israel,2026-06-01,40775000
Italy,2006-06-01,219300000
Italy,2010-06-01,269200000
Italy,2014-06-01,323000000
Italy,2026-06-01,968000000
Ivory Coast,2006-06-01,77800000
Ivory Coast,2010-06-01,161750000
Ivory Coast,2014-06-01,117900000
Ivory Coast,2026-06-01,467000000
Jamaica,2026-06-01,48900000
Japan,2006-06-01,0
Japan,2010-06-01,27500000
Japan,2014-06-01,85250000
Japan,2018-06-01,65850000
Japan,2022-11-01,128100000
Japan,2026-06-01,301500000
Jordan,2026-06-01,6250000
Kazakhstan,2026-06-01,6350000
Kenya,2026-06-01,12100000
Kosovo,2026-06-01,72400000
Kyrgyzstan,2026-06-01,300000
Latvia,2026-06-01,325000
Lebanon,2026-06-01,450000
Liberia,2026-06-01,275000
Libya,2026-06-01,7000000
Lithuania,2026-06-01,7900000
Luxembourg,2026-06-01,25650000
Madagascar,2026-06-01,6050000
Malaysia,2026-06-01,1200000
Mali,2026-06-01,138700000
Malta,2026-06-01,5400000
Martinique,2026-06-01,4800000
Mauritania,2026-06-01,5500000
Mauritius,2026-06-01,150000
Mexico,2006-06-01,16300000
Mexico,2010-06-01,45500000
Mexico,2014-06-01,62900000
Mexico,2018-06-01,106300000
Mexico,2022-11-01,130200000
Mexico,2026-06-01,110200000
Moldova,2026-06-01,6825000
Montenegro,2026-06-01,29275000
Morocco,2018-06-01,117850000
Morocco,2022-11-01,229700000
Morocco,2026-06-01,533000000
Mozambique,2026-06-01,22500000
Netherlands,2006-06-01,130250000
Netherlands,2010-06-01,243800000
Netherlands,2014-06-01,207500000
Netherlands,2022-11-01,584750000
Netherlands,2026-06-01,959000000
New Caledonia,2026-06-01,5000000
New Zealand,2010-06-01,6850000
New Zealand,2026-06-01,19850000
Niger,2026-06-01,4025000
Nigeria,2010-06-01,71700000
Nigeria,2014-06-01,82950000
Nigeria,2018-06-01,128300000
Nigeria,2026-06-01,403000000
North Korea,2010-06-01,0
North Macedonia,2026-06-01,17100000
Northern Ireland,2026-06-01,61125000
Norway,2026-06-01,555500000
Palestine,2026-06-01,1200000
Panama,2018-06-01,1150000
Panama,2026-06-01,16100000
Paraguay,2006-06-01,9825000
Paraguay,2010-06-01,52000000
Paraguay,2026-06-01,113750000
Peru,2018-06-01,23175000
Peru,2026-06-01,16100000
Philippines,2026-06-01,700000
Poland,2006-06-01,13450000
Poland,2018-06-01,260650000
Poland,2022-11-01,265100000
Poland,2026-06-01,219000000
Portugal,2006-06-01,92500000
Portugal,2010-06-01,223000000
Portugal,2014-06-01,293750000
Portugal,2018-06-01,466350000
Portugal,2022-11-01,931000000
Portugal,2026-06-01,1171000000
Qatar,2022-11-01,7350000
Republic of Ireland,2026-06-01,152650000
Romania,2026-06-01,49475000
Russia,2014-06-01,179150000
Russia,2018-06-01,134525000
Russia,2026-06-01,263500000
Rwanda,2026-06-01,2400000
Saint-Martin,2026-06-01,300000
Sao Tome and Principe,2026-06-01,75000
Saudi Arabia,2006-06-01,0
Saudi Arabia,2018-06-01,4625000
Saudi Arabia,2022-11-01,5000000
Saudi Arabia,2026-06-01,4050000
Scotland,2026-06-01,204600000
Senegal,2018-06-01,282250000
Senegal,2022-11-01,241750000
Senegal,2026-06-01,393000000
Serbia,2006-06-01,48700000
Serbia,2010-06-01,156550000
Serbia,2018-06-01,238950000
Serbia,2022-11-01,357500000
Serbia,2026-06-01,331200000
Sierra Leone,2026-06-01,1475000
Slovakia,2010-06-01,77600000
Slovakia,2026-06-01,112825000
Slovenia,2010-06-01,18650000
Slovenia,2026-06-01,74150000
South Africa,2010-06-01,11875000
South Africa,2026-06-01,7300000
South Korea,2006-06-01,9000000
South Korea,2010-06-01,24250000
South Korea,2014-06-01,34550000
South Korea,2018-06-01,67000000
South Korea,2022-11-01,121675000
South Korea,2026-06-01,98200000
Spain,2006-06-01,272500000
Spain,2010-06-01,636800000
Spain,2014-06-01,583250000
Spain,2018-06-01,935000000
Spain,2022-11-01,807000000
Spain,2026-06-01,1255000000
Suriname,2026-06-01,24850000
Sweden,2006-06-01,51825000
Sweden,2018-06-01,116450000
Sweden,2026-06-01,579000000
Switzerland,2006-06-01,20150000
Switzerland,2010-06-01,69650000
Switzerland,2014-06-01,173500000
Switzerland,2018-06-01,208600000
Switzerland,2022-11-01,256400000
Switzerland,2026-06-01,331500000
Syria,2026-06-01,5550000
Tajikistan,2026-06-01,100000
Tanzania,2026-06-01,2750000
Thailand,2026-06-01,1200000
Togo,2006-06-01,10400000
Togo,2026-06-01,24360000
Trinidad and Tobago,2006-06-01,1050000
Trinidad and Tobago,2026-06-01,10200000
Tunisia,2006-06-01,7900000
Tunisia,2018-06-01,42550000
Tunisia,2022-11-01,48425000
Tunisia,2026-06-01,44600000
Turkey,2026-06-01,434500000
Uganda,2026-06-01,625000
Ukraine,2006-06-01,29200000
Ukraine,2026-06-01,368500000
United Arab Emirates,2026-06-01,50000
United States,2006-06-01,11200000
United States,2010-06-01,38000000
United States,2014-06-01,51900000
United States,2022-11-01,254200000
United States,2026-06-01,420500000
Uruguay,2010-06-01,97700000
Uruguay,2014-06-01,215600000
Uruguay,2018-06-01,352500000
Uruguay,2022-11-01,386100000
Uruguay,2026-06-01,450300000
Uzbekistan,2026-06-01,55800000
Venezuela,2026-06-01,48850000
Wales,2022-11-01,151750000
Wales,2026-06-01,64725000
Zambia,2026-06-01,7850000
Zimbabwe,2026-06-01,19500000
