scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-30 23:13:16 UTC,2022-12-13 20:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/croatia-K8aznggo/,Argentina,Croatia,World Cup 2022,3,0,"(2:0, 1:0)",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '1.85', 'X': '3.25', '2': '4.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.15', '2': '4.40', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.30', '2': '4.75', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.20', '2': '4.40', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.06', 'X': '3.05', '2': '4.70', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:13:18 UTC,2022-12-18 16:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/france-QkGeVG1n/,Argentina,France,World Cup 2022,4,3,"2:0, 0:2, 1:1, 4:2",Lusail Iconic Stadium,Lusail,Qatar,"[{'1': '2.63', 'X': '3.15', '2': '2.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.77', 'X': '2.95', '2': '2.85', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '2.85', 'X': '3.20', '2': '2.95', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.10', '2': '2.90', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.20', '2': '2.85', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:13:17 UTC,2026-06-10 03:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/iceland-6TsAIrGN/,Argentina,Iceland,Friendly International,3,0,"(1:0, 2:0)",Jordan-Hare Stadium,"Auburn, AL",USA,"[{'1': '1.22', 'X': '6.00', '2': '13.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.24', 'X': '6.30', '2': '17.50', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.18', 'X': '6.80', '2': '15.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.50', '2': '15.00', 'bookmaker_name': 'Getsbet', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.00', '2': '13.00', 'bookmaker_name': 'MrBitRO', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.80', '2': '15.00', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.50', '2': '15.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:13:34 UTC,2024-03-26 22:00:00 UTC,https://www.oddsportal.com/football/h2h/argentina-f9OppQjp/nigeria-EBE2Xb3l/,Argentina,Nigeria,Friendly International 2024,,,,Los Angeles Memorial Coliseum,"Los Angeles, CA",USA,[]
2026-06-30 23:13:34 UTC,2022-11-30 16:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/denmark-0KUdxQVi/,Australia,Denmark,World Cup 2022,1,0,"(0:0, 1:0)",Al Janoub Stadium,Al Wakrah,Qatar,"[{'1': '7.75', 'X': '4.70', '2': '1.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.90', 'X': '4.90', '2': '1.42', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '7.25', 'X': '5.00', '2': '1.50', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '8.00', 'X': '4.75', '2': '1.42', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '8.50', 'X': '4.75', '2': '1.43', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:13:35 UTC,2022-06-13 20:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/peru-Uend67D3/,Australia,Peru,World Cup 2022,1,0,"0:0, 0:0, 0:0, 5:4",Ahmad bin Ali Stadium,Al Rayyan,Qatar,"[{'1': '4.40', 'X': '3.05', '2': '1.95', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.40', 'X': '3.10', '2': '2.00', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '4.70', 'X': '3.20', '2': '1.95', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '4.50', 'X': '3.10', '2': '1.97', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}]"
2026-06-30 23:13:51 UTC,2018-07-06 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/brazil-I9l9aqLq/,Brazil,Belgium,World Cup 2018,1,2,"(0:2, 1:0)",Ak Bars Arena,Kazan,Russia,"[{'1': '2.10', 'X': '3.35', '2': '3.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.17', 'X': '3.45', '2': '3.60', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
2026-06-30 23:13:52 UTC,2024-03-26 20:45:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/england-j9N9ZNFA/,England,Belgium,Friendly International 2024,2,2,"(1:2, 1:0)",Wembley Stadium,London,England,"[{'1': '1.67', 'X': '3.75', '2': '4.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.80', '2': '5.00', 'bookmaker_name': 'Betano.ro', 'period': 'FullTime'}, {'1': '1.70', 'X': '4.00', '2': '5.00', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.90', '2': '4.60', 'bookmaker_name': 'Superbet.ro', 'period': 'FullTime'}, {'1': '1.68', 'X': '3.95', '2': '5.00', 'bookmaker_name': 'Unibetro', 'period': 'FullTime'}]"
2026-06-30 23:14:08 UTC,2026-09-28 20:45:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/france-QkGeVG1n/,Belgium,France,UEFA Nations League,,,,,,,[]
2026-06-30 23:14:09 UTC,2018-07-02 20:00:00 UTC,https://www.oddsportal.com/football/h2h/belgium-GbB957na/japan-ULXPdOUj/,Belgium,Japan,World Cup 2018,3,2,"(0:0, 3:2)",Rostov Arena,Rostov,Russia,"[{'1': '1.41', 'X': '4.50', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.80', '2': '10.25', 'bookmaker_name': 'Fortuna.ro', 'period': 'FullTime'}]"
