tournament,team,player
2006,Angola,Akwá
2006,Angola,André Macanga
2006,Angola,António Lebo Lebo
2006,Angola,António Mendonça
2006,Angola,Edson Nobre
2006,Angola,Flávio Amado
2006,Angola,Jamba
2006,Angola,João Ricardo
2006,Angola,Kali
2006,Angola,Lamá (Angolan footballer)
2006,Angola,Locó
2006,Angola,Love
2006,Angola,Luís Delgado
2006,Angola,Mantorras
2006,Angola,Marco Abreu
2006,Angola,Marco Airosa
2006,Angola,Mateus Galiano da Costa
2006,Angola,Miloy
2006,Angola,Mário Hipólito
2006,Angola,Paulo Figueiredo
2006,Angola,Rui Marques
2006,Angola,Titi Buengo
2006,Angola,Zé Kalanga
2006,Argentina,Carlos Tevez
2006,Argentina,Esteban Cambiasso
2006,Argentina,Fabricio Coloccini
2006,Argentina,Gabriel Heinze
2006,Argentina,Gabriel Milito
2006,Argentina,Hernán Crespo
2006,Argentina,Javier Mascherano
2006,Argentina,Javier Saviola
2006,Argentina,Juan Pablo Sorín
2006,Argentina,Juan Román Riquelme
2006,Argentina,Julio Ricardo Cruz
2006,Argentina,Leandro Cufré
2006,Argentina,Leo Franco
2006,Argentina,Lionel Messi
2006,Argentina,Lionel Scaloni
2006,Argentina,Lucho González
2006,Argentina,Maxi Rodríguez
2006,Argentina,Nicolás Burdisso
2006,Argentina,Oscar Ustari
2006,Argentina,Pablo Aimar
2006,Argentina,Roberto Abbondanzieri
2006,Argentina,Roberto Ayala
2006,Argentina,Rodrigo Palacio
2006,Australia,Ante Covic
2006,Australia,Archie Thompson
2006,Australia,Brett Emerton
2006,Australia,Craig Moore
2006,Australia,Harry Kewell
2006,Australia,Jason Culina
2006,Australia,John Aloisi
2006,Australia,Joshua Kennedy
2006,Australia,Josip Skoko
2006,Australia,Lucas Neill
2006,Australia,Luke Wilkshire
2006,Australia,Mark Bresciano
2006,Australia,Mark Milligan
2006,Australia,Mark Schwarzer
2006,Australia,Mark Viduka
2006,Australia,Michael Beauchamp
2006,Australia,Mile Sterjovski
2006,Australia,Scott Chipperfield
2006,Australia,Stan Lazaridis
2006,Australia,Tim Cahill
2006,Australia,Tony Popovic
2006,Australia,Vince Grella
2006,Australia,Zeljko Kalac
2006,Brazil,Adriano
2006,Brazil,Cafu
2006,Brazil,Cicinho
2006,Brazil,Cris
2006,Brazil,Dida
2006,Brazil,Emerson
2006,Brazil,Fred
2006,Brazil,Gilberto
2006,Brazil,Gilberto Silva
2006,Brazil,Juan
2006,Brazil,Juninho Pernambucano
2006,Brazil,"Júlio César (football goalkeeper, born 1979)"
2006,Brazil,Kaká
2006,Brazil,Luisão
2006,Brazil,Lúcio
2006,Brazil,Mineiro
2006,Brazil,Ricardinho
2006,Brazil,Roberto Carlos
2006,Brazil,Robinho
2006,Brazil,Rogério Ceni
2006,Brazil,Ronaldinho
2006,Brazil,Ronaldo (Brazilian footballer)
