tournament,home,away,date,p_home,p_draw,p_away,actual
WC2006,Germany,Costa Rica,2006-06-09,0.92813395,0.04956202,0.02230403,home
WC2006,Poland,Ecuador,2006-06-09,0.62303578,0.20750519,0.16945903,away
WC2006,Argentina,Ivory Coast,2006-06-10,0.56280293,0.21889759,0.21829948,home
WC2006,England,Paraguay,2006-06-10,0.70072227,0.18569459,0.11358315,home
WC2006,Trinidad and Tobago,Sweden,2006-06-10,0.04381628,0.11332065,0.84286308,draw
WC2006,Angola,Portugal,2006-06-11,0.05158150,0.12447856,0.82393994,away
WC2006,Mexico,Iran,2006-06-11,0.68328029,0.18795444,0.12876527,home
WC2006,Serbia,Netherlands,2006-06-11,0.20073641,0.25441430,0.54484929,away
WC2006,Australia,Japan,2006-06-12,0.55443221,0.22538616,0.22018163,home
WC2006,Italy,Ghana,2006-06-12,0.67699583,0.20730253,0.11570164,home
WC2006,United States,Czech Republic,2006-06-12,0.19538826,0.23925253,0.56535921,away
WC2006,Brazil,Croatia,2006-06-13,0.67483380,0.19571792,0.12944828,home
WC2006,France,Switzerland,2006-06-13,0.69708748,0.19809821,0.10481430,draw
WC2006,South Korea,Togo,2006-06-13,0.54303035,0.25267824,0.20429141,home
WC2006,Germany,Poland,2006-06-14,0.73228432,0.14190114,0.12581454,home
WC2006,Spain,Ukraine,2006-06-14,0.61636996,0.24007314,0.14355690,home
WC2006,Tunisia,Saudi Arabia,2006-06-14,0.44997461,0.25855649,0.29146890,draw
WC2006,Ecuador,Costa Rica,2006-06-15,0.51792776,0.23351185,0.24856039,home
WC2006,England,Trinidad and Tobago,2006-06-15,0.92155100,0.06126967,0.01717932,home
WC2006,Sweden,Paraguay,2006-06-15,0.58247454,0.23116189,0.18636357,home
WC2006,Argentina,Serbia,2006-06-16,0.55312096,0.23065356,0.21622548,home
WC2006,Mexico,Angola,2006-06-16,0.67434691,0.19653074,0.12912235,draw
WC2006,Netherlands,Ivory Coast,2006-06-16,0.59450605,0.23231982,0.17317413,home
WC2006,Czech Republic,Ghana,2006-06-17,0.64289504,0.20948662,0.14761834,away
WC2006,Italy,United States,2006-06-17,0.60295954,0.24195694,0.15508352,draw
WC2006,Portugal,Iran,2006-06-17,0.84473379,0.11042707,0.04483913,home
WC2006,Brazil,Australia,2006-06-18,0.76790144,0.14672732,0.08537124,home
WC2006,France,South Korea,2006-06-18,0.69273162,0.21123180,0.09603658,draw
WC2006,Japan,Croatia,2006-06-18,0.15248949,0.21424669,0.63326383,draw
WC2006,Saudi Arabia,Ukraine,2006-06-19,0.21812408,0.27377452,0.50810141,away
WC2006,Spain,Tunisia,2006-06-19,0.74090327,0.17190869,0.08718805,home
WC2006,Togo,Switzerland,2006-06-19,0.17338487,0.21813108,0.60848405,away
WC2006,Costa Rica,Poland,2006-06-20,0.10908045,0.16428525,0.72663430,away
WC2006,Germany,Ecuador,2006-06-20,0.88432233,0.07693360,0.03874407,home
WC2006,Paraguay,Trinidad and Tobago,2006-06-20,0.71200972,0.18513203,0.10285825,home
WC2006,Sweden,England,2006-06-20,0.21282339,0.23043390,0.55674271,draw
WC2006,Iran,Angola,2006-06-21,0.30410008,0.24716549,0.44873443,draw
WC2006,Ivory Coast,Serbia,2006-06-21,0.44082871,0.25612148,0.30304981,home
WC2006,Netherlands,Argentina,2006-06-21,0.42349103,0.25300421,0.32350476,draw
WC2006,Portugal,Mexico,2006-06-21,0.60301985,0.21780508,0.17917508,home
WC2006,Croatia,Australia,2006-06-22,0.50672543,0.23637337,0.25690120,draw
WC2006,Czech Republic,Italy,2006-06-22,0.27629232,0.25127526,0.47243242,away
WC2006,Ghana,United States,2006-06-22,0.26394291,0.27271364,0.46334345,home
WC2006,Japan,Brazil,2006-06-22,0.04114862,0.10480103,0.85405036,away
WC2006,Saudi Arabia,Spain,2006-06-23,0.06213669,0.15598573,0.78187757,away
WC2006,Switzerland,South Korea,2006-06-23,0.45978233,0.26345770,0.27675998,home
WC2006,Togo,France,2006-06-23,0.04387850,0.12951956,0.82660195,away
WC2006,Ukraine,Tunisia,2006-06-23,0.47817695,0.26993627,0.25188678,home
WC2006,Argentina,Mexico,2006-06-24,0.62984174,0.20284034,0.16731792,home
WC2006,Germany,Sweden,2006-06-24,0.58916581,0.18999384,0.22084035,home
WC2006,England,Ecuador,2006-06-25,0.83292607,0.11806424,0.04900969,home
WC2006,Portugal,Netherlands,2006-06-25,0.30393277,0.26118046,0.43488677,home
WC2006,Italy,Australia,2006-06-26,0.70039895,0.18662748,0.11297357,home
WC2006,Switzerland,Ukraine,2006-06-26,0.40972020,0.27263274,0.31764707,draw
WC2006,Brazil,Ghana,2006-06-27,0.75951263,0.15942910,0.08105827,home
WC2006,Spain,France,2006-06-27,0.31603973,0.28355194,0.40040833,away
WC2006,Germany,Argentina,2006-06-30,0.45233327,0.19825002,0.34941671,draw
WC2006,Italy,Ukraine,2006-06-30,0.63155707,0.23705110,0.13139183,home
WC2006,Brazil,France,2006-07-01,0.43679508,0.26382778,0.29937714,away
